Carrier,orig_port_cd,dest_port_cd,minm_wgh_qty,max_wgh_qty,svc_cd,minimum_cost,rate,mode_dsc,tpt_day_cnt,Carrier_type
V444_0,PORT02,PORT09,0.00,99.99,DTD,23.84,0.10,AIR   ,4,V88888888_0
V444_0,PORT02,PORT09,100.00,249.99,DTD,23.84,0.08,AIR   ,4,V88888888_0
V444_0,PORT02,PORT09,250.00,499.99,DTD,23.84,0.08,AIR   ,4,V88888888_0
V444_0,PORT02,PORT09,500.00,1999.99,DTD,23.84,0.08,AIR   ,4,V88888888_0
V444_0,PORT02,PORT09,2000.00,99999.99,DTD,23.84,0.08,AIR   ,4,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,27.20,16.20,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,27.20,9.20,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,25.42,16.42,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,25.42,15.42,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,27.20,13.20,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,27.20,13.20,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,33.32,8.32,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,33.32,17.32,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,33.32,12.32,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,27.20,7.20,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,27.20,13.20,GROUND,1,V88888888_0
V444_0,PORT03,PORT09,0.00,5000.00,DTD,33.32,10.32,GROUND,1,V88888888_0
V444_0,PORT04,PORT09,0.00,99.99,DTD,3.46,0.08,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,0.00,99.99,DTP,1.50,0.05,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,0.00,99.99,DTD,3.46,0.08,AIR   ,2,V88888888_0
V444_0,PORT04,PORT09,0.00,99.99,DTP,1.50,0.05,AIR   ,2,V88888888_0
V444_0,PORT04,PORT09,100.00,249.99,DTD,3.46,0.06,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,100.00,249.99,DTP,1.50,0.04,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,100.00,249.99,DTD,3.46,0.06,AIR   ,2,V88888888_0
V444_0,PORT04,PORT09,100.00,249.99,DTP,1.50,0.04,AIR   ,2,V88888888_0
V444_0,PORT04,PORT09,250.00,499.99,DTD,3.46,0.05,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,250.00,499.99,DTP,1.50,0.04,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,250.00,499.99,DTD,3.46,0.05,AIR   ,2,V88888888_0
V444_0,PORT04,PORT09,250.00,499.99,DTP,1.50,0.04,AIR   ,2,V88888888_0
V444_0,PORT04,PORT09,500.00,1999.99,DTD,3.46,0.05,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,500.00,1999.99,DTP,1.50,0.04,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,500.00,1999.99,DTD,3.46,0.05,AIR   ,2,V88888888_0
V444_0,PORT04,PORT09,500.00,1999.99,DTP,1.50,0.04,AIR   ,2,V88888888_0
V444_0,PORT04,PORT09,2000.00,99999.99,DTD,3.46,0.05,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,2000.00,99999.99,DTP,1.50,0.04,AIR   ,3,V88888888_0
V444_0,PORT04,PORT09,2000.00,99999.99,DTD,3.46,0.05,AIR   ,2,V88888888_0
V444_0,PORT04,PORT09,2000.00,99999.99,DTP,1.50,0.04,AIR   ,2,V88888888_0
V444_0,PORT09,PORT09,0.00,5000.00,DTP,31.28,12.28,GROUND,0,V88888888_0
V444_0,PORT09,PORT09,0.00,5000.00,DTD,31.28,13.28,GROUND,0,V88888888_0
V444_1,PORT02,PORT09,0.01,0.50,DTD,1.43,0.43,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,0.01,0.50,DTD,1.45,0.45,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,0.51,1.00,DTD,1.43,0.43,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,0.51,1.00,DTD,1.45,0.45,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,1.01,1.50,DTD,1.45,0.45,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,1.01,1.50,DTD,1.52,0.52,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,1.51,2.00,DTD,1.45,0.45,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,1.51,2.00,DTD,1.61,0.61,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,2.01,2.50,DTD,1.45,0.45,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,2.01,2.50,DTD,1.71,0.71,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,70.51,99.99,DTD,9.43,0.09,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,70.51,99.99,DTD,9.74,0.09,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,100.00,299.99,DTD,11.99,0.09,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,100.00,299.99,DTD,13.39,0.09,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,300.00,499.99,DTD,33.47,0.08,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,300.00,499.99,DTD,35.67,0.09,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,500.00,999.99,DTD,55.43,0.08,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,500.00,999.99,DTD,59.43,0.09,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,1000.00,9999.99,DTD,109.83,0.08,AIR   ,1,V888888883_1
V444_1,PORT02,PORT09,1000.00,9999.99,DTD,117.83,0.09,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,0.01,0.50,DTD,1.20,0.20,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,0.01,0.50,DTD,1.43,0.43,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,0.01,0.50,DTD,1.20,0.20,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,0.01,0.50,DTD,1.43,0.43,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,0.51,1.00,DTD,1.26,0.26,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,0.51,1.00,DTD,1.44,0.44,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,0.51,1.00,DTD,1.26,0.26,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,0.51,1.00,DTD,1.44,0.44,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,1.01,1.50,DTD,1.32,0.32,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,1.01,1.50,DTD,1.48,0.48,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,1.01,1.50,DTD,1.32,0.32,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,1.01,1.50,DTD,1.48,0.48,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,1.51,2.00,DTD,1.38,0.38,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,1.51,2.00,DTD,1.53,0.53,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,1.51,2.00,DTD,1.38,0.38,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,1.51,2.00,DTD,1.53,0.53,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,2.01,2.50,DTD,1.44,0.44,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,2.01,2.50,DTD,1.57,0.57,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,2.01,2.50,DTD,1.44,0.44,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,2.01,2.50,DTD,1.57,0.57,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,70.51,99.99,DTD,9.09,0.08,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,70.51,99.99,DTD,7.80,0.08,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,70.51,99.99,DTD,9.09,0.08,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,70.51,99.99,DTD,7.80,0.08,AIR   ,1,V888888883_1
V444_1,PORT04,PORT09,100.00,299.99,DTD,11.63,0.08,AIR   ,2,V888888883_1
V444_1,PORT04,PORT09,100.00,299.99,DTD,11.23,0.08,AIR   ,2,V888888883_1
